payee_first_name,payee_last_name,payee_payment_status,payee_due_date,payee_address_line_1,payee_address_line_2,payee_city,payee_country,payee_province_or_state,payee_postal_code,payee_phone_number,payee_email,currency,discount_percent,tax_percent,due_amount,payee_added_date
andrea,mendoza,overdue,2024-11-27,9515 harris junctions,apt. 998,east jacqueline,ca,south carolina,19147,12462387787,bjackson@singh.com,usd,15.49,7.25,129.07,2023-03-21
nicholas,palmer,overdue,2024-11-29,719 kristy dale apt. 463,suite 870,east william,dj,texas,81291,17377353620,roybennett@hotmail.com,usd,22.79,7.25,1425.62,2024-04-20
kevin,hall,pending,2024-12-25,66752 alvarez haven,apt. 714,west donnastad,bt,south carolina,1514,13226599501,pamela11@yahoo.com,usd,8.63,7.25,4850.47,2023-05-25
donald,miller,overdue,2024-11-08,689 victor estates suite 682,suite 704,north jose,bj,arkansas,68960,18365793490,carlos23@palmer-ross.com,usd,16.04,7.25,791.01,2023-03-28
douglas,zimmerman,pending,2024-12-11,089 nash spurs,apt. 509,east kathryn,bi,rhode island,66764,14427328264,brian22@gmail.com,usd,21.6,7.25,2330.71,2023-03-25
brandy,riley,pending,2024-12-27,694 daugherty plains,apt. 159,harriston,ps,georgia,25694,12311318904,nandersen@yahoo.com,usd,27.9,7.25,4662.86,2024-10-04
james,branch,overdue,2024-11-16,918 jennifer shore apt. 200,apt. 137,brettberg,fi,north dakota,20155,17573011716,asnow@hotmail.com,usd,29.38,7.25,3626.18,2024-05-28
alexandria,evans,pending,2024-12-07,04855 smith view,apt. 453,loganberg,ve,wyoming,13984,13423507941,rebecca81@yahoo.com,usd,22.04,7.25,1637.86,2023-08-07
peter,brooks,pending,2024-12-20,6491 gregory alley,suite 086,cruzberg,td,alaska,53644,19611535745,vmiller@white-nelson.com,usd,5.73,7.25,4527.52,2023-12-10
eugene,cruz,overdue,2024-11-08,10164 cobb parkway suite 283,apt. 213,sandraview,td,maine,73220,17291910546,iwright@gmail.com,usd,19.97,7.25,2689.93,2023-06-15
